author,geos
Angela Taddei,"['48.851304,2.340246', '48.70997,2.1531', '48.851304,2.340246', '48.851304,2.340246']"
Jean-Pierre Faugere,"['0,0', '48.70997,2.1531']"
Bertrand Chazallon,"['0,0', '50.6314,3.07497']"
Marie-Helene Cuif,"['48.851906,2.340105', '48.70997,2.1531']"
Jacques Alexandropoulos,"['48.851304,2.340246', '43.57954,1.40235', '43.57954,1.40235']"
Pierre-Philippe Combes,"['0,0', '43.2935,5.35781', '43.2935,5.35781']"
Xavier Thirion,"['43.2935,5.35781', '43.2935,5.35781']"
Osmund Bopearachchi,"['48.8468,2.34488']"
Guilaine Lagache,"['48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531']"
Fabien Ohl,"['48.57872,7.76465']"
Raymond Mayer,"['48.851906,2.340105']"
Corinne Leloup,"['48.851906,2.340105', '47.31274,5.06637']"
Pascal Simon,"['44.809966,-0.596578', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531']"
Seraphin Alava,"['43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235']"
Marc Petit,"['48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531']"
Benedicte Gendron,"['0,0', '43.63279,3.86924']"
Pascale Bomont,"['48.57872,7.76465', '43.2935,5.35781', '43.61583,3.87203']"
Jacques Colom,"['43.2935,5.35781', '-20.9019,55.4843', '-20.9019,55.4843', '-20.9019,55.4843']"
Brigitte Marin,"['48.8468,2.34488']"
Olivier Herault,"['47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367']"
Mireille Lerner-Natoli,"['43.61583,3.87203', '43.61583,3.87203']"
Carole Kretz,"['45.77962,4.86518', '45.77962,4.86518', '48.57872,7.76465']"
Sorin Olaru,"['48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531']"
Horatiu Cirstea,"['48.6962,6.17634', '48.6962,6.17634']"
Catherine Cronier,"['43.61583,3.87203', '50.6314,3.07497']"
Anne Chauchereau,"['48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531']"
Patricia Augier,"['43.2935,5.35781']"
Patricia Doublet,"['48.70997,2.1531']"
Olivier Pouliquen,"['48.71317,2.21022', '43.2935,5.35781']"
Corinne Berland,"['48.6962,6.17634', '48.83915,2.58747']"
Sophie Chauvet,"['0,0', '43.2935,5.35781', '43.2935,5.35781']"
Francois Poulet,"['49.18884,-0.36382', '48.70997,2.1531', '48.70997,2.1531', '48.11585,-1.67298', '48.70997,2.1531', '48.70997,2.1531']"
Veronique Duranthon,"['48.851906,2.340105', '48.70997,2.1531', '48.70997,2.1531']"
Franck Collard,"['48.8468,2.34488', '48.90245,2.21238', '48.90245,2.21238']"
Mourad Baiou,"['48.11585,-1.67298', '45.77056,3.08791']"
Olivier Gicquel,"['48.70997,2.1531']"
Teva Vernoux,"['0,0', '45.7337,4.83376']"
Marie-Laurence Giorgi,"['48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531']"
Patrice Coddeville,"['50.6314,3.07497', '50.6314,3.07497']"
Fabrice Anizon,"['45.77056,3.08791', '45.77056,3.08791']"
Gregoire Rota-Graziosi,"['47.2408,6.02265', '45.77056,3.08791']"
Andrei Tchirkov,"['45.77056,3.08791', '45.77056,3.08791', '45.77056,3.08791']"
Samir Merabet,"['43.2935,5.35781', '43.2935,5.35781', '48.57872,7.76465', '48.57872,7.76465', '48.57872,7.76465']"
Jean-Claude Beacco,"['0,0', '48.8489,2.34313']"
Peter Haissinsky,"['48.70997,2.1531', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Eric Marcon,"['45.77962,4.86518', '45.42472,4.39264']"
Anne-Marie Rodriguez,"['43.56287,1.46597', '48.83915,2.58747', '48.83915,2.58747']"
Gregory Miermont,"['48.851304,2.340246', '48.70997,2.1531', '48.57872,7.76465']"
Marie-Liesse Doublet,"['48.70997,2.1531', '43.61583,3.87203']"
Nacim Betrouni,"['0,0']"
Frederic Zumer,"['48.85412,2.32842', '48.8468,2.34488', '48.8468,2.34488']"
Michel Dimou,"['45.19159,5.76726', '-20.9019,55.4843']"
Teddy Fen Chong,"['0,0', '48.83915,2.58747']"
Tam Mignot,"['48.851906,2.340105', '43.2935,5.35781', '43.2935,5.35781']"
Dante Barrientos Tecun,"['42.6844,2.89854', '43.2935,5.35781', '43.2935,5.35781']"
Jean-Charles Majeste,"['43.31372,-0.36509']"
Dominique Dardevet,"['45.77056,3.08791', '45.77056,3.08791']"
Gerard Pirlot,"['43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235']"
Jean-Luc Baray,"['48.851304,2.340246', '-20.9019,55.4843', '45.77056,3.08791']"
Remy Allain,"['48.12064,-1.70333']"
Charles de Izarra,"['47.85065,1.93397']"
Christophe Lamaze,"['48.851906,2.340105', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.85464,2.33785']"
Dominique Berger,"['45.7492,4.83714', '45.77056,3.08791', '45.77056,3.08791']"
Veronique Eder,"['45.77056,3.08791', '47.38376,0.67367', '47.38376,0.67367']"
Didier Peiffert,"['0,0', '48.6962,6.17634']"
Frederique Coulee,"['48.8468,2.34488', '47.85065,1.93397', '47.85065,1.93397', '47.85065,1.93397']"
Denys Pommeret,"['43.56287,1.46597', '43.2935,5.35781']"
Mohamed Embarki,"['47.2408,6.02265', '47.2408,6.02265', '47.2408,6.02265']"
Pascal Fontaine,"['48.851906,2.340105']"
Francois Amy de La Breteque,"['48.8489,2.34313', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924']"
Arnaldo Nogueira,"['0,0', '43.2935,5.35781']"
Josette Raymond,"['0,0', '48.70997,2.1531']"
Benoit Pige,"['47.31274,5.06637']"
Pierre-Herve Luppi,"['0,0', '45.77962,4.86518']"
Fabienne Castell,"['48.70997,2.1531', '43.2935,5.35781']"
Helene Christol,"['0,0', '43.2935,5.35781']"
Christophe Delacourt,"['48.78852,2.4437', '48.83915,2.58747', '48.39803,-4.5077']"
Gilles Sassatelli,"['43.61583,3.87203', '43.61583,3.87203']"
Jean-Luc Sudres,"['43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235']"
Sebastien Gibot,"['48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634']"
Pascal Lefevre,"['0,0']"
Philippe Sarremejane,"['48.851906,2.340105']"
Emmanuel Falque,"['48.851304,2.340246', '46.58596,0.34601']"
Perrine Galand-Hallyn,"['0,0', '48.851304,2.340246']"
Nicolas Lebegue,"['50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497']"
Xavier Fairise,"['48.8468,2.34488', '48.62425,2.42738']"
Christian Bastard,"['49.4583,1.06895', '49.4583,1.06895']"
Georges Decocq,"['48.8468,2.34488', '48.83915,2.58747', '48.83915,2.58747', '48.83915,2.58747', '48.83915,2.58747', '48.83915,2.58747', '48.83915,2.58747', '48.83915,2.58747', '48.83915,2.58747', '48.83915,2.58747']"
Christophe Besse,"['44.809966,-0.596578']"
Jean-Pierre Tardieu,"['44.8015,-0.615058', '-20.9019,55.4843', '-20.9019,55.4843', '-20.9019,55.4843']"
Beatrice L'azou,"['44.809966,-0.596578', '44.809966,-0.596578']"
Valerie Delague,"['43.61583,3.87203', '43.2935,5.35781']"
Sylvie Brunel,"['44.809966,-0.596578']"
Jean-Yves Merian,"['0,0', '48.12064,-1.70333']"
Catherine Grandjean,"['48.90245,2.21238']"
Anne Lomascolo,"['0,0', '43.2935,5.35781']"
Eric Finot,"['47.31274,5.06637', '47.31274,5.06637']"
Alain Thalineau,"['47.2097,-1.55587', '47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367']"
Eric Truy,"['45.77962,4.86518', '45.77962,4.86518']"
Christophe Demaziere,"['50.6314,3.07497', '47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367']"
Vincent David,"['46.58596,0.34601', '44.809966,-0.596578', '44.809966,-0.596578']"
Stephane Doumbe-Bille,"['0,0', '45.747027,4.860547']"
Jodelle Zetlaoui,"['48.78852,2.4437', '48.83915,2.58747', '48.83915,2.58747']"
Christine Develotte,"['48.8489,2.34313', '45.7337,4.83376', '45.7337,4.83376', '45.7337,4.83376', '45.7337,4.83376', '45.7492,4.83714']"
Francoise Dubosquet Lairys,"['48.12064,-1.70333', '48.12064,-1.70333']"
Nathalie Lassau,"['48.70997,2.1531', '48.70997,2.1531']"
Yves Clot,"['0,0', '48.867,2.35463']"
Claudine Medigue,"['48.851304,2.340246', '48.62425,2.42738', '48.62425,2.42738']"
Olivier Noel,"['0,0', '48.0148,0.159251', '48.0148,0.159251', '48.0148,0.159251']"
Nathalie Huet,"['43.57954,1.40235', '45.7492,4.83714']"
Martial Guedron,"['48.57872,7.76465', '48.57872,7.76465', '48.57872,7.76465']"
Yannick L'Horty,"['0,0', '48.83915,2.58747']"
Marc Griesheimer,"['43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Katia Guerin,"['44.809966,-0.596578', '45.77056,3.08791', '45.77056,3.08791', '45.77056,3.08791', '45.77056,3.08791']"
Michel Jacq-Hergoualc'h,"['48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313']"
Geraldine Chavrier,"['48.8468,2.34488', '50.6314,3.07497', '48.8468,2.34488']"
Yvan Devaux,"['48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634']"
Jean-Marc Petit,"['48.70997,2.1531']"
Arnaud Martin,"['0,0', '48.39803,-4.5077', '44.809966,-0.596578']"
Alexandre Moine,"['0,0', '47.2408,6.02265']"
Benjamin Delprat,"['43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203']"
Ali Zolghadri,"['0,0', '44.809966,-0.596578']"
Herve Plaisance,"['49.40024,2.800108', '50.6314,3.07497']"
Sebastien Pouget,"['43.60656,1.43712', '43.60656,1.43712']"
Franck Prugnolle,"['43.61583,3.87203', '43.61583,3.87203']"
Jean-Michel Fournier,"['0,0', '47.38376,0.67367']"
Fabien Girandola,"['43.2935,5.35781', '47.31274,5.06637', '43.2935,5.35781', '43.2935,5.35781']"
Isabelle Royer,"['43.56287,1.46597', '50.6314,3.07497', '45.747027,4.860547', '48.57872,7.76465']"
Julien Bourgeois,"['47.2408,6.02265']"
Michel Deshaies,"['48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634']"
Stefania Capone,"['48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Nicole Brenez,"['0,0', '48.8489,2.34313', '48.8468,2.34488', '48.8489,2.34313', '48.8468,2.34488', '48.8489,2.34313', '48.8489,2.34313', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313']"
Roland Peyron,"['45.77962,4.86518', '45.77962,4.86518', '48.57872,7.76465', '48.57872,7.76465']"
Gwenael Vourc'h,"['43.61583,3.87203', '45.77056,3.08791', '45.77056,3.08791']"
Herve Cottet,"['48.851304,2.340246', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203']"
Frederique Toudoire-Surlapierre,"['48.851304,2.340246', '47.7323,7.31485', '47.7323,7.31485', '47.7323,7.31485']"
Pierre Chollet,"['48.85464,2.33785']"
Charles Illouz,"['0,0', '46.14774,-1.15504', '46.14774,-1.15504', '46.14774,-1.15504']"
Remy Bazenguissa,"['0,0', '50.6314,3.07497', '50.6314,3.07497']"
Isabelle Chevalot,"['0,0', '48.6962,6.17634']"
Doumit Daou,"['48.78852,2.4437', '48.83915,2.58747']"
Marie-Helene Queval,"['48.851304,2.340246', '48.0148,0.159251']"
Laurent Bloch,"['44.809966,-0.596578', '44.809966,-0.596578']"
Dominique Duprez,"['50.6314,3.07497']"
Karim Noui,"['43.61583,3.87203', '47.38376,0.67367']"
Jean-Christophe Filliatre,"['48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531']"
Alexandre Grandazzi,"['48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Yann Leredde,"['43.2935,5.35781', '43.61583,3.87203']"
Catherine Schouler,"['43.56287,1.46597', '47.38376,0.67367']"
Rene Valero,"['43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Jean Colombani,"['45.77962,4.86518', '45.77962,4.86518']"
Nadine Vivier,"['48.90245,2.21238', '48.0148,0.159251']"
Daniel Comparat,"['48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531']"
Marie-Pierre Camproux-Duffrene,"['45.747027,4.860547', '48.57872,7.76465', '48.57872,7.76465', '48.57872,7.76465', '48.57872,7.76465', '48.57872,7.76465', '48.57872,7.76465']"
Herve Defalvard,"['48.90245,2.21238', '48.83915,2.58747', '48.83915,2.58747', '48.83915,2.58747']"
Philippe Legrand,"['48.12064,-1.70333', '43.63508,3.86542', '48.11585,-1.67298']"
Pascal Palmas,"['48.6962,6.17634', '47.38376,0.67367']"
Jean-Marc Bertho,"['48.851304,2.340246', '48.70997,2.1531']"
Nathalie Mitton,"['0,0', '50.6314,3.07497']"
Nicolas Paparoditis,"['43.71693,7.26664']"
Vincent Lisowski,"['49.18884,-0.36382']"
Stephane Monteil,"['45.77056,3.08791', '45.77056,3.08791', '45.77056,3.08791', '45.77056,3.08791', '45.77056,3.08791']"
Christophe Rocher,"['44.809966,-0.596578', '44.809966,-0.596578']"
Yohann Wittrant,"['47.2097,-1.55587', '45.77056,3.08791', '45.77056,3.08791']"
Vincent Dousset,"['0,0', '44.809966,-0.596578']"
Behzad Mostajir,"['48.851304,2.340246']"
Vincent Joly,"['48.0148,0.159251']"
Stephanie Caille-Garnier,"['44.809966,-0.596578', '44.809966,-0.596578']"
Alain Dieterlen,"['47.7323,7.31485', '47.7323,7.31485']"
Agnes Robin,"['43.61583,3.87203', '43.61583,3.87203']"
Dominique Manchon,"['48.851906,2.340105', '45.77056,3.08791']"
Laurent Imbert,"['43.2935,5.35781', '43.61583,3.87203', '43.61583,3.87203']"
Michel Benoit,"['43.71693,7.26664', '48.83915,2.58747', '48.83915,2.58747', '48.83915,2.58747', '48.83915,2.58747', '48.83915,2.58747', '48.83915,2.58747']"
Jean-Marc Ricort,"['43.71693,7.26664', '48.70997,2.1531', '48.70997,2.1531']"
Jean Dessolin,"['43.2935,5.35781', '44.809966,-0.596578']"
Tiberiu Minea,"['48.70997,2.1531']"
Jean-Luc Moriceau,"['48.85464,2.33785', '48.7132,2.19972', '48.7132,2.19972', '48.7132,2.19972', '48.7132,2.19972', '48.70997,2.1531', '48.70997,2.1531']"
Mohamed Gafsi,"['47.31274,5.06637', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235']"
Anthi Karaiskou,"['48.851304,2.340246', '48.851304,2.340246']"
Tarak Driss,"['48.851304,2.340246']"
Patrick Guerin,"['47.7323,7.31485', '47.2097,-1.55587']"
Christian Marcadet,"['0,0', '48.8468,2.34488', '48.8468,2.34488']"
Armande Le Pellec Muller,"['48.851906,2.340105', '48.90245,2.21238']"
Marie-Antoinette Maupertuis,"['43.71693,7.26664', '42.30041,9.15324']"
Isabelle Dez,"['50.6314,3.07497']"
Patrick Nee,"['48.851906,2.340105', '46.58596,0.34601', '46.58596,0.34601']"
Olivier Ramond,"['48.85464,2.33785', '48.85464,2.33785', '48.83915,2.58747']"
Esther Jeffers Sasson,"['48.90245,2.21238', '48.946,2.36213', '48.946,2.36213', '49.87584,2.26446']"
Vlady Ravelomanana,"['49.87584,2.26446', '48.95793,2.34071', '48.95793,2.34071', '48.851906,2.340105']"
Dan Xu,"['48.8489,2.34313', '48.8274,2.37608', '48.8274,2.37608', '48.8274,2.37608']"
Vincent Nguyen Van Hai,"['48.946,2.36213', '48.946,2.36213']"
Damien Bazin,"['48.79959,2.14159', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664']"
Frederic Relaix,"['48.851304,2.340246', '48.851304,2.340246', '48.83915,2.58747', '48.83915,2.58747']"
Frederic Hourdin,"['48.851906,2.340105']"
Christel Laberty-Robert,"['43.56287,1.46597', '48.851304,2.340246']"
Jean-Yves Piquemal,"['48.851304,2.340246']"
Eric Darras,"['48.8468,2.34488']"
Philippe Lang,"['45.77962,4.86518', '48.851906,2.340105']"
Thibaud Decaens,"['48.851304,2.340246']"
Helene Ruiz Fabri,"['0,0', '48.8468,2.34488']"
Fabienne Hulak,"['48.851906,2.340105', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213']"
Julie Menetrey,"['48.851304,2.340246', '48.851304,2.340246']"
Marc Baaden,"['48.57872,7.76465', '48.851304,2.340246', '48.851906,2.340105']"
Mohamed Boutouil,"['49.49647,0.12896', '49.18884,-0.36382', '49.18884,-0.36382']"
Aurelien Bruyant,"['48.2697,4.0725', '48.2697,4.0725']"
Sonia Garel,"['48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Pascal Francois,"['48.8468,2.34488', '43.56287,1.46597', '43.56287,1.46597']"
Paul Billant,"['48.71317,2.21022', '48.71317,2.21022', '48.70997,2.1531']"
Fabrice Not,"['48.851304,2.340246', '48.851304,2.340246']"
Franck Morvan,"['43.56287,1.46597', '43.56287,1.46597', '43.56287,1.46597']"
Fabien Gagosz,"['48.71317,2.21022', '48.71317,2.21022', '48.71317,2.21022', '48.71317,2.21022', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531']"
Patrick Dieuaide,"['48.8468,2.34488']"
Frederic Barriere,"['48.39803,-4.5077']"
Houssem Haddar,"['48.8411,2.58822']"
Ivan Pastorelli,"['43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664']"
Gabor Molnar,"['0,0', '43.56287,1.46597']"
Eleni Varika,"['48.851906,2.340105', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213']"
Pierre-Paul Danna,"['43.71693,7.26664', '43.71693,7.26664']"
Pierre Weiss,"['48.57872,7.76465']"
Denis Ruellan,"['0,0', '48.11585,-1.67298']"
Nathalie Desmasures,"['49.18884,-0.36382', '49.18884,-0.36382']"
Daniel Levy,"['48.851304,2.340246', '48.851304,2.340246', '48.85464,2.33785']"
Martin Ndende,"['48.39803,-4.5077']"
Hassan Aboushady,"['48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Kazuhiko Yatabe,"['0,0', '48.851906,2.340105']"
Lionel Calmels,"['43.56287,1.46597']"
Jean-Pierre Marco,"['43.56287,1.46597', '48.851304,2.340246']"
Hiam Mouannes,"['43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712']"
Laure Nurit-Pontier,"['45.77056,3.08791', '47.74618,-3.39072']"
Jean-Marie Lassus,"['48.8489,2.34313']"
Carine Souveyet,"['48.851304,2.340246', '48.8468,2.34488']"
Carole Gresse,"['0,0', '48.85464,2.33785', '48.85464,2.33785']"
Fabrice Planchon,"['48.71317,2.21022', '48.95793,2.34071']"
Vahid Asnafi,"['48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Abdelilah Wakkach,"['48.851906,2.340105', '43.71693,7.26664']"
Sylvie Gibet,"['0,0', '47.74618,-3.39072']"
Philippe Tamagny,"['48.8411,2.58822', '47.2491,-1.54786']"
Corine Bertolotto,"['43.71693,7.26664', '43.71693,7.26664']"
Jean-Marc Fevrier,"['43.60656,1.43712', '42.6844,2.89854', '42.6844,2.89854', '42.6844,2.89854']"
Anne-Emmanuelle Berger,"['48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213']"
Olivier Dord,"['48.90245,2.21238', '48.90245,2.21238']"
Jacqueline Lagree,"['0,0', '48.11585,-1.67298']"
Paul Richard,"['48.851304,2.340246', '47.478,-0.548273', '47.478,-0.548273']"
Pascal Le Malefan,"['48.851906,2.340105', '49.4583,1.06895', '49.4583,1.06895']"
Corinne Alberti,"['48.70997,2.1531', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Paul Coppo,"['48.851906,2.340105', '48.851906,2.340105']"
Natalie Depraz,"['48.90245,2.21238', '49.4583,1.06895', '49.4583,1.06895']"
Frederic Marin,"['48.851906,2.340105', '49.40024,2.800108', '49.40024,2.800108']"
Pierre Duhaut,"['45.77962,4.86518', '49.87584,2.26446', '49.87584,2.26446']"
Dominique Helley,"['50.6314,3.07497', '48.851906,2.340105', '48.851906,2.340105']"
Bertrand Granado,"['48.70997,2.1531', '48.851304,2.340246', '49.03889,2.07415', '49.03889,2.07415', '49.03889,2.07415']"
Frederic Chevallier,"['48.851906,2.340105', '48.79959,2.14159']"
Jean-Yves Duquesne,"['48.70997,2.1531', '48.851304,2.340246']"
Philippe Mourrain,"['48.851304,2.340246', '48.851304,2.340246']"
Catherine Soula,"['43.56287,1.46597', '43.56287,1.46597']"
Jean-Luc Renaud,"['0,0', '49.18884,-0.36382']"
Mimoun Bendjillali,"['48.946,2.36213', '48.946,2.36213', '48.946,2.36213', '48.946,2.36213']"
Isabelle Tardieux,"['48.851304,2.340246', '48.851906,2.340105', '48.851906,2.340105']"
Jerome Ledauphin,"['49.18884,-0.36382', '49.18884,-0.36382']"
Isabelle Nicolai,"['43.71693,7.26664', '48.79959,2.14159']"
Jean-Jacques Szczeciniarz,"['0,0', '48.851906,2.340105']"
Franck Halary,"['47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587']"
Isabelle Vallee,"['47.38376,0.67367', '48.851304,2.340246', '48.851304,2.340246']"
Pascale Jeannin,"['45.77962,4.86518', '47.478,-0.548273', '47.478,-0.548273', '47.478,-0.548273', '47.478,-0.548273', '47.478,-0.548273', '47.478,-0.548273']"
Marc Lamy de la Chapelle,"['47.2097,-1.55587', '48.95793,2.34071', '48.0148,0.159251']"
Joelle Dalegre,"['48.90245,2.21238', '48.8274,2.37608', '48.8274,2.37608', '48.8274,2.37608', '48.8274,2.37608']"
Pascal Rousseau,"['48.851304,2.340246', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '47.478,-0.548273', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Marc Baudry,"['48.11585,-1.67298']"
Kim Ta Phuoc,"['48.71317,2.21022', '48.71317,2.21022']"
Helene Gerard,"['48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Marie-Laure Delfosse,"['48.8468,2.34488', '48.11585,-1.67298', '48.11585,-1.67298']"
Christophe Lemaire,"['48.70997,2.1531', '48.79959,2.14159', '48.70997,2.1531']"
Anne-Genevieve Marcelin,"['48.851906,2.340105', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Mathias Pessiglione,"['0,0', '48.851304,2.340246']"
Laurent Marsollier,"['0,0', '47.478,-0.548273']"
Driss Elothmani,"['0,0', '47.478,-0.548273']"
Arnaud Delorme,"['48.70997,2.1531', '43.56287,1.46597']"
Edouard Kaminski,"['48.851906,2.340105', '48.851906,2.340105']"
Marie Balasse,"['48.851304,2.340246', '48.84202,2.35616']"
Jacqueline Nacache,"['48.8489,2.34313', '48.851906,2.340105', '48.851906,2.340105']"
Denis Moreau,"['47.2097,-1.55587', '47.2097,-1.55587']"
Mathilde Badoual,"['48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Ali Boukabache,"['0,0', '43.56287,1.46597']"
Olivier Schischmanoff,"['48.851906,2.340105', '48.95793,2.34071']"
Denis Grebenkov,"['48.71317,2.21022', '48.71317,2.21022']"
Benoit Ladoux,"['48.851906,2.340105', '48.851906,2.340105']"
Delia Kesner,"['48.70997,2.1531', '48.851906,2.340105']"
Gregory Lefevre,"['48.6962,6.17634', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Michael Houseman,"['0,0', '48.90245,2.21238']"
Remi Le Marc'hadour,"['48.12064,-1.70333', '47.74618,-3.39072']"
Francois Villa,"['48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Sandrine Bourdoulous,"['48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Gilles Favre,"['0,0', '43.56287,1.46597']"
Claude Markovits,"['48.851304,2.340246', '47.2097,-1.55587']"
Bernard Delmas,"['43.56287,1.46597', '48.851906,2.340105', '48.851906,2.340105']"
Thierry Gousset,"['48.71317,2.21022', '47.2097,-1.55587']"
Jean-Claude Marie,"['49.18884,-0.36382', '48.851906,2.340105', '48.851906,2.340105']"
Bruno Jousselme,"['47.478,-0.548273', '48.71317,2.21022', '48.71317,2.21022', '48.70997,2.1531', '48.70997,2.1531']"
Amar Ramdane-Cherif,"['48.851304,2.340246', '48.79959,2.14159']"
Joelle Lebreuilly,"['49.18884,-0.36382', '49.18884,-0.36382', '49.18884,-0.36382', '49.18884,-0.36382', '48.6962,6.17634']"
Laurence Cornu,"['48.946,2.36213']"
Jacques Guyot,"['48.12064,-1.70333']"
Laurent Gouya,"['48.851304,2.340246', '48.79959,2.14159']"
Eric Mondielli,"['43.61583,3.87203', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587']"
Jean Castex,"['48.946,2.36213', '48.79959,2.14159', '48.79959,2.14159']"
Bruno Crepon,"['48.8468,2.34488', '48.85412,2.32842', '48.8468,2.34488', '48.70997,2.1531', '48.70997,2.1531']"
Claude Cosandey,"['0,0', '48.8468,2.34488']"
Thierry Sanjuan,"['48.851304,2.340246', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Stephanie Dubal,"['48.851304,2.340246']"
Marie Leca-Tsiomis,"['48.851906,2.340105', '48.90245,2.21238']"
Helene Chanteloup,"['48.90245,2.21238', '49.87584,2.26446']"
Serge Bismuth,"['43.2935,5.35781', '49.87584,2.26446']"
Olivier Castelnau,"['43.2935,5.35781', '48.95793,2.34071']"
Wanda Mastor,"['43.2935,5.35781', '43.60656,1.43712', '43.60656,1.43712']"
Bahram Soltani,"['48.85464,2.33785', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Renaud Loison,"['48.1216,-1.63297']"
Bernard Lecherbonnier,"['48.851304,2.340246', '48.95793,2.34071', '48.95793,2.34071']"
