author,geos
David Cohen,"['48.57872,7.76465', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.851304,2.340246', '48.851304,2.340246']"
Robert Galisson,"['0,0', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313']"
Daniel Roche,"['48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Francois Laudenbach,"['0,0', '47.31274,5.06637', '48.70997,2.1531', '48.71317,2.21022']"
Michel Levasseur,"['0,0', '48.85464,2.33785', '48.85464,2.33785', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497']"
Jacques Thierry,"['45.77056,3.08791', '47.31274,5.06637']"
Alain Daniel,"['48.6962,6.17634', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587']"
Jean-Marie Martin,"['48.8468,2.34488', '42.6844,2.89854', '45.19159,5.76726', '45.19159,5.76726', '48.78852,2.4437', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Michel Genet,"['48.851906,2.340105', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531']"
Alain Cotta,"['0,0', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785']"
Lucien Sfez,"['0,0', '48.85464,2.33785', '48.85464,2.33785', '48.85464,2.33785']"
Yves Quere,"['48.39803,-4.5077', '49.18884,-0.36382', '48.71317,2.21022', '48.70997,2.1531', '48.71317,2.21022', '48.71317,2.21022']"
Georges Lavau,"['0,0', '48.85412,2.32842', '48.85412,2.32842']"
Jean-Marie Bastide,"['0,0', '43.61583,3.87203', '43.61583,3.87203']"
Lucette Bardet,"['0,0', '43.61583,3.87203', '43.61583,3.87203']"
Andre Labourdette,"['0,0', '44.809966,-0.596578', '44.809966,-0.596578', '44.809966,-0.596578', '44.809966,-0.596578']"
Maurice Alain Quere,"['0,0', '47.2097,-1.55587', '47.2097,-1.55587']"
Jean-Marie Buzelin,"['0,0', '47.2097,-1.55587', '47.2097,-1.55587']"
J.CLAUDE MATHIEU,"['0,0', '48.851304,2.340246']"
Andre Vauchez,"['0,0', '48.851304,2.340246', '48.90245,2.21238', '48.90245,2.21238']"
Christian Metz,"['0,0', '48.8489,2.34313']"
