Académie1,Académie2,Nom,long1,lat1,long2,lat2
Nancy-Metz,Aix-Marseille,10,10,10,10,10
Nancy-Metz,Amiens,12,12,12,12,12
Nancy-Metz,Besançon,3,3,3,3,3
Nancy-Metz,Bordeaux,15,15,15,15,15
Nancy-Metz,Caen,4,4,4,4,4
Nancy-Metz,Clermont-Ferrand,2,2,2,2,2
Nancy-Metz,Créteil,12,12,12,12,12
Nancy-Metz,Dijon,7,7,7,7,7
Nancy-Metz,Grenoble,2,2,2,2,2
Nancy-Metz,Lille,9,9,9,9,9
Nancy-Metz,Limoges,2,2,2,2,2
Nancy-Metz,Lyon,11,11,11,11,11
Nancy-Metz,Montpellier,13,13,13,13,13
Nancy-Metz,Nancy-Metz,125,125,125,125,125
Nancy-Metz,Nantes,9,9,9,9,9
Nancy-Metz,Nice,5,5,5,5,5
Nancy-Metz,Orléans-Tours,8,8,8,8,8
Nancy-Metz,Paris,39,39,39,39,39
Nancy-Metz,Poitiers,2,2,2,2,2
Nancy-Metz,Reims,2,2,2,2,2
Nancy-Metz,Rennes,9,9,9,9,9
Nancy-Metz,Rouen,3,3,3,3,3
Nancy-Metz,Strasbourg,32,32,32,32,32
Nancy-Metz,Toulouse,11,11,11,11,11
Nancy-Metz,Versailles,23,23,23,23,23
Nantes,Aix-Marseille,6,6,6,6,6
Nantes,Amiens,1,1,1,1,1
Nantes,Besançon,5,5,5,5,5
Nantes,Bordeaux,12,12,12,12,12
Nantes,Caen,5,5,5,5,5
Nantes,Clermont-Ferrand,4,4,4,4,4
Nantes,Créteil,4,4,4,4,4
Nantes,Dijon,3,3,3,3,3
Nantes,Lille,6,6,6,6,6
Nantes,Limoges,2,2,2,2,2
Nantes,Lyon,11,11,11,11,11
Nantes,Montpellier,6,6,6,6,6
Nantes,Nancy-Metz,6,6,6,6,6
Nantes,Nantes,79,79,79,79,79
Nantes,Nice,4,4,4,4,4
Nantes,Orléans-Tours,7,7,7,7,7
Nantes,Paris,25,25,25,25,25
Nantes,Poitiers,3,3,3,3,3
Nantes,Rennes,9,9,9,9,9
Nantes,Strasbourg,9,9,9,9,9
Nantes,Toulouse,4,4,4,4,4
Nantes,Versailles,18,18,18,18,18
Nice,Aix-Marseille,13,13,13,13,13
Nice,Amiens,1,1,1,1,1
Nice,Besançon,1,1,1,1,1
Nice,Bordeaux,5,5,5,5,5
Nice,Caen,2,2,2,2,2
Nice,Clermont-Ferrand,2,2,2,2,2
Nice,Créteil,4,4,4,4,4
Nice,Dijon,1,1,1,1,1
Nice,Grenoble,1,1,1,1,1
Nice,Lille,1,1,1,1,1
Nice,Lyon,5,5,5,5,5
Nice,Montpellier,8,8,8,8,8
Nice,Nancy-Metz,2,2,2,2,2
Nice,Nantes,3,3,3,3,3
Nice,Nice,112,112,112,112,112
Nice,Orléans-Tours,2,2,2,2,2
Nice,Paris,16,16,16,16,16
Nice,Poitiers,1,1,1,1,1
Nice,Rennes,4,4,4,4,4
Nice,Rouen,1,1,1,1,1
Nice,Strasbourg,8,8,8,8,8
Nice,Toulouse,5,5,5,5,5
Nice,Versailles,13,13,13,13,13
Orléans-Tours,Aix-Marseille,7,7,7,7,7
Orléans-Tours,Amiens,3,3,3,3,3
Orléans-Tours,Besançon,1,1,1,1,1
Orléans-Tours,Bordeaux,9,9,9,9,9
Orléans-Tours,Caen,1,1,1,1,1
Orléans-Tours,Clermont-Ferrand,1,1,1,1,1
Orléans-Tours,Créteil,5,5,5,5,5
Orléans-Tours,Grenoble,2,2,2,2,2
Orléans-Tours,Lille,6,6,6,6,6
Orléans-Tours,Limoges,1,1,1,1,1
Orléans-Tours,Lyon,4,4,4,4,4
Orléans-Tours,Montpellier,8,8,8,8,8
Orléans-Tours,Nancy-Metz,4,4,4,4,4
Orléans-Tours,Nantes,6,6,6,6,6
Orléans-Tours,Nice,2,2,2,2,2
Orléans-Tours,Orléans-Tours,53,53,53,53,53
Orléans-Tours,Paris,11,11,11,11,11
Orléans-Tours,Poitiers,4,4,4,4,4
Orléans-Tours,Rennes,6,6,6,6,6
Orléans-Tours,Rouen,2,2,2,2,2
Orléans-Tours,Strasbourg,2,2,2,2,2
Orléans-Tours,Toulouse,7,7,7,7,7
Orléans-Tours,Versailles,15,15,15,15,15
Paris,Aix-Marseille,102,102,102,102,102
Paris,Amiens,37,37,37,37,37
Paris,Besançon,21,21,21,21,21
Paris,Bordeaux,101,101,101,101,101
Paris,Caen,27,27,27,27,27
Paris,Clermont-Ferrand,37,37,37,37,37
Paris,Créteil,169,169,169,169,169
Paris,Dijon,41,41,41,41,41
Paris,Grenoble,25,25,25,25,25
Paris,Lille,100,100,100,100,100
Paris,Limoges,10,10,10,10,10
Paris,Lyon,125,125,125,125,125
Paris,Montpellier,107,107,107,107,107
Paris,Nancy-Metz,69,69,69,69,69
Paris,Nantes,81,81,81,81,81
Paris,Nice,43,43,43,43,43
Paris,Orléans-Tours,68,68,68,68,68
Paris,Paris,970,970,970,970,970
Paris,Poitiers,29,29,29,29,29
Paris,Reims,4,4,4,4,4
Paris,Rennes,105,105,105,105,105
Paris,Rouen,51,51,51,51,51
Paris,Strasbourg,137,137,137,137,137
Paris,Toulouse,85,85,85,85,85
Paris,Versailles,397,397,397,397,397
Poitiers,Bordeaux,6,6,6,6,6
Poitiers,Caen,1,1,1,1,1
Poitiers,Créteil,4,4,4,4,4
Poitiers,Lille,4,4,4,4,4
Poitiers,Lyon,5,5,5,5,5
Poitiers,Montpellier,2,2,2,2,2
Poitiers,Nancy-Metz,3,3,3,3,3
Poitiers,Nantes,8,8,8,8,8
Poitiers,Nice,4,4,4,4,4
Poitiers,Orléans-Tours,4,4,4,4,4
Poitiers,Paris,18,18,18,18,18
Poitiers,Poitiers,27,27,27,27,27
Poitiers,Rennes,4,4,4,4,4
Poitiers,Strasbourg,4,4,4,4,4
Poitiers,Toulouse,4,4,4,4,4
Poitiers,Versailles,6,6,6,6,6
Reims,Paris,1,1,1,1,1
Reims,Reims,1,1,1,1,1
Rennes,Aix-Marseille,7,7,7,7,7
