"Universite2","Universite1","Nom","Annee1","Annee2","Lat1","Long1","Lat2","Long2"
"Aix-Marseille 1","Paris, INALCO","Marc Weinstein",1991,2008,48.8274,2.37608,43.2935,5.35781
"Aix-Marseille 1","Paris 8","Philippe Lamy",2016,2011,48.946,2.36213,43.2935,5.35781
"Aix-Marseille 1","Lyon 1","Jean-Pierre Martin",1990,1990,45.77962,4.86518,43.2935,5.35781
"Aix-Marseille 1","Paris 10","Marie-Claude Taranger",1986,2002,48.90245,2.21238,43.2935,5.35781
"Aix-Marseille 1","Toulouse 2","Jean-Marc Fabre",2016,2006,43.57954,1.40235,43.2935,5.35781
"Aix-Marseille 1","Paris 4","Claude Carozzi",1989,2004,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille 1","Aix-Marseille 2","Christine Deruelle",1992,2007,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille 1","Paris 1","Brigitte Marin",1991,2011,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille 1","Universite Stendhal (Grenoble)","Jean-Paul Revauger",1986,2001,45.19159,5.76726,43.2935,5.35781
"Aix-Marseille 1","Lyon 2","Solange Ory",1990,1991,45.7492,4.83714,43.2935,5.35781
"Aix-Marseille 1","Paris 1","Jean-Maurice Monnoyer",1995,2008,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille 1","Paris 4","Jean-Pierre Martin",1992,1992,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille 1","Nice","Christiane Mourre",1987,1999,43.71693,7.26664,43.2935,5.35781
"Aix-Marseille 1","Lyon 1","Bernard Verrier",1985,1999,45.77962,4.86518,43.2935,5.35781
"Aix-Marseille 1","Paris 11","Fabienne Castell",1992,2011,48.70997,2.1531,43.2935,5.35781
"Aix-Marseille 1","Paris 3","Yves Porter",1988,2002,48.8489,2.34313,43.2935,5.35781
"Aix-Marseille 1","Montpellier 1","Michel Domergue",1989,1990,43.61583,3.87203,43.2935,5.35781
"Aix-Marseille 1","Paris 1","Jean-Claude Le Gouic",1992,2009,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille 1","Lyon 2","Solange Ory",1990,1989,45.7492,4.83714,43.2935,5.35781
"Aix-Marseille 1","Universite Marc Bloch (Strasbourg)","Thomas Keller",1989,2001,48.57872,7.76465,43.2935,5.35781
"Aix-Marseille 1","Toulouse 2","Sidi Askofare",2000,2009,43.57954,1.40235,43.2935,5.35781
"Aix-Marseille 1","Paris 3","Agnes Verlet",2000,2010,48.8489,2.34313,43.2935,5.35781
"Aix-Marseille 1","Montpellier 2","Denis Bertin",1997,2005,43.61583,3.87203,43.2935,5.35781
"Aix-Marseille 1","Paris 11","Peter Haissinsky",1998,2011,48.70997,2.1531,43.2935,5.35781
"Aix-Marseille 1","Paris 1","Pierre Villard",1986,2006,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille 1","Nancy 1","Jean-Pierre Martin",1990,1990,48.6962,6.17634,43.2935,5.35781
"Aix-Marseille 1","Paris 4","Philippe Mioche",1992,2004,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille 1","Paris 4","Gerard Dufour",1991,1998,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille 1","Universite Pierre Mendes France (Grenoble)","Robert-Vincent Joule",1986,1994,45.19159,5.76726,43.2935,5.35781
"Aix-Marseille 1","Universite Marc Bloch (Strasbourg)","Michel Balivet",1992,2006,48.57872,7.76465,43.2935,5.35781
"Aix-Marseille 1","Toulon","Stephan Guignard",2001,2011,43.1369,6.01684,43.2935,5.35781
"Aix-Marseille 1","Toulouse 2","Jean Samuel Bordreuil",1985,2005,43.57954,1.40235,43.2935,5.35781
"Aix-Marseille 2","Clermont-Ferrand 2","Guy Falgairette",1987,1997,45.77056,3.08791,43.2935,5.35781
"Aix-Marseille 2","Toulouse 3","MAX PIERRE-NICOLAS",1988,1989,43.56287,1.46597,43.2935,5.35781
"Aix-Marseille 2","Paris 11","Jean-Marc Garnier",2007,1990,48.70997,2.1531,43.2935,5.35781
"Aix-Marseille 2","Paris 6","Jean-Michel Coulon",1994,1989,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille 2","Paris 8","Patrick Delmas",1986,2007,48.946,2.36213,43.2935,5.35781
"Aix-Marseille 2","Paris 7","Sylvain Tisserant",1987,1998,48.851906,2.340105,43.2935,5.35781
"Aix-Marseille 2","Paris 10","Bernard Blanc",2007,1994,48.90245,2.21238,43.2935,5.35781
"Aix-Marseille 2","Montpellier 1","Isabelle Guerrero",1986,2000,43.61583,3.87203,43.2935,5.35781
"Aix-Marseille 2","Lille 1","Patrick Lemaire",2009,2009,50.6314,3.07497,43.2935,5.35781
"Aix-Marseille 2","Paris 1","Patrick-Yves Badillo",1987,2005,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille 2","Montpellier 1","Alice Guilhon",1993,2005,43.61583,3.87203,43.2935,5.35781
"Aix-Marseille 2","Toulouse 3","Alain Arnaud",1988,1990,43.56287,1.46597,43.2935,5.35781
"Aix-Marseille 2","Nice","Stephane Bermon",1992,2003,43.71693,7.26664,43.2935,5.35781
"Aix-Marseille 2","Paris 5","Georg Haase",1999,2008,48.851906,2.340105,43.2935,5.35781
"Aix-Marseille 2","Tours","Xavier Thirion",2007,2011,47.38376,0.67367,43.2935,5.35781
"Aix-Marseille 2","Paris 3","Marc Daniel",2012,2011,48.8489,2.34313,43.2935,5.35781
"Aix-Marseille 2","Aix-Marseille 3","Christian Duval",1994,2009,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille 2","Paris 11","Mireille Defranceschi",1985,2010,48.70997,2.1531,43.2935,5.35781
"Aix-Marseille 2","Paris 10","Eric Verdier",1998,2004,48.90245,2.21238,43.2935,5.35781
"Aix-Marseille 2","Bordeaux 2","Alain Schiano",1997,1994,44.809966,-0.596578,43.2935,5.35781
"Aix-Marseille 2","Aix-Marseille 3","Robert Kast",1987,2004,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille 2","Paris 11","Marc Knecht",1985,2002,48.70997,2.1531,43.2935,5.35781
"Aix-Marseille 2","Nice","Pierre Szepetowski",1991,2005,43.71693,7.26664,43.2935,5.35781
"Aix-Marseille 2","Aix-Marseille 1","Marie-Dominique Giraudo",1989,2007,43.2935,5.35781,43.2935,5.35781
