"Nom","Universite1","Universite2","Annee1","Annee2"
"Armand Caron","Paris 6","Limoges",1987,1991
"Armand Strubel","Paris 4","Avignon",1986,1996
"Armel Coude","Brest","Caen",1994,2002
"Armel Huet","Paris 10","Rennes 2",1988,1997
"Armelle Andrieu Jacquet","Paris 5","Paris 10",2014,2016
"Armelle Charrie-Duhaut","Universite Louis Pasteur (Strasbourg)","Strasbourg",1999,2016
"Armelle Debru","Paris 4","Paris 7",1990,2004
"Armelle Leturque","Paris 7","Paris 6",1985,2008
"Arnak S. Dalalyan","Le Mans","Paris Est",2001,2012
"Arnaud Aubert","Bordeaux 2","Tours",1997,2008
"Arnaud Bourdin","Montpellier 1","Montpellier",2006,2016
"Arnaud Buch","Paris 6","Chatenay-Malabry, Ecole centrale de Paris",2001,2013
"Arnaud Coquelle","Paris 6","Montpellier 1",1999,2014
"Arnaud Delorme","Paris 11","Toulouse 3",2003,2012
"Arnaud Desmedt","Bordeaux 1","Bordeaux",2001,2017
"Arnaud Dubois","Paris 10","Paris 11",2011,2012
"Arnaud Durand","Paris 12","Paris 7",2007,2009
"Arnaud Etcheberry","Paris 7","Paris 11",1985,1994
"Arnaud Gautier","Saint-Etienne","Paris Sciences et Lettres",2015,2017
"Arnaud Huvet","Tours","Brest",2000,2012
"Arnaud Landragin","Paris 11","Paris 6",1997,2014
"Arnaud Nicot","Paris 11","Paris 6",1994,2010
"Arnaud Plagnol","Paris 1","Paris 8",2005,2014
"Arnaud Raynouard","Paris 2","Metz",1998,2004
"Arnaud Reygrobellet","Paris 2","Paris 10",1995,2005
"Arnaud Simon","Nancy 1","Paris 9",2000,2015
"Arnauld Pierre","Paris 4","Paris 6",1995,2000
"Arno Munster","Paris 1","Amiens",1987,2009
"Arthur Jacobs","Paris 5","Aix-Marseille 2",1986,1998
"Ashwin Chinnayya","Aix-Marseille 1","Chasseneuil-du-Poitou, Ecole nationale superieure de mecanique et d'aerotechnique",2002,2016
"Athanase Papadopoulos","Paris 11","Strasbourg 1",1989,2005
"Athanase Visvikis","Nancy 1","Universite de Lorraine",1989,2012
"Aude Rouyere","Bordeaux 1","Limoges",1993,2002
"Audrey Auffrant","Paris 6","Palaiseau, Ecole polytechnique",2002,2015
"Audrey Roman","Nice","Toulon",1999,2014
"Augustin Aynes","Paris 2","Paris Est",2005,2013
"Aurelia Fraysse","Universite Paris-Est Creteil Val de Marne (UPEC)","Universite Paris-Saclay (ComUE)",2005,2018
"Aurelia Gaillard","Paris 7","Bordeaux 3",1994,2010
"Aurelia Hubert-Ferrari","Paris 7","Paris 11",1998,2012
"Aurelie Goyenvalle","Paris 7","Universite Paris-Saclay (ComUE)",2006,2017
"Aurelien Besnard","Angers","Paris Sciences et Lettres",2014,2017
"Aurelien Marabelle","Lyon, Ecole normale superieure","Universite Paris-Saclay (ComUE)",2013,2019
"Aurore Chaigneau","Paris 10","Amiens",2005,2016
"Axel Gasquet","Paris 10","Clermont-Ferrand 2",2000,2012
"Aymar Goullet de Rugy","Aix-Marseille 2","Bordeaux",2001,2018
"Aziz Jellab","Amiens","Lille 3",1992,2016
"Aziza Boucherit","Paris 3","Paris 5",1994,2005
"Bachir Redjel","Compiegne","Rennes, INSA",1987,2009
"Bahram Soltani","Paris 9","Paris 1",1992,2012
"Baptiste Bonnet","Saint-Etienne","Clermont-Ferrand 1",2004,2013
"Bastien Francois","Paris 1","Rennes 1",1992,2003
"Bastien Nay","Bordeaux 2","Paris 6",1998,2010
"Beatrice Bourdin","Dijon","Amiens",1994,2018
"Beatrice Dagens","Toulouse 3","Paris 11",1995,2010
"Beatrice Daille","Paris 7","Nantes",1994,2010
"Beatrice Durand","Bordeaux 2","Montpellier 1",1988,1998
"Beatrice Fleury-Vilatte","Paris 1","Metz",1986,2009
"Beatrice Galinon-Melenec","Paris 5","Bordeaux 3",1988,2009
"Beatrice Grasland","Lorient","Rennes 1",2002,2016
"Beatrice Laroche","Paris, ENMP","Universite Paris-Saclay (ComUE)",2000,2016
"Beatrice Picon-Vallin","Paris 3","Paris 10",1987,2002
"Beatrice Pothier","Paris 7","Angers",1994,2008
"Beatrice Riteau","Paris 6","Lyon 1",2001,2014
"Beatrice Romagnolo","Paris 11","Universite Paris-Saclay (ComUE)",1999,2018
"Beatrice Trombert","Lyon 1","Saint-Etienne",1999,2015
"Behzad Mostajir","Paris 6","Montpellier 2",1996,2011
"Benedicte Bucher","Paris 6","Paris Est",2002,2013
"Benedicte Delignon","Paris 4","Lyon",2003,2018
"Benedicte Durand","Paris 4","Lyon 1",1998,2008
"Benedicte Fauvarque-Cosson","Paris 2","Rouen",1994,2002
"Benedicte Francois","Paris 2","Tours",2003,2017
"Benedicte Michel","Dijon","Paris 7",2004,2008
"Benjamin Audit","Paris 6","Lyon, Ecole normale superieure (sciences)",1999,2009
"Benjamin Brou Kouadio","Paris 1","Artois",2004,2016
"Benjamin Dehay","Paris 6","Bordeaux",2007,2019
"Benjamin Huard","Paris 6","Paris Sciences et Lettres",2006,2017
"Benjamin Remy","Vandoeuvre-les-Nancy, INPL","Universite de Lorraine",1998,2018
"Benjamin Stora","Universite Paris-Est Creteil Val de Marne (UPEC)","Paris 8",1991,1993
"Benoit Arveiler","Universite Louis Pasteur (Strasbourg)","Bordeaux 2",1989,2000
"Benoit Boulanger","Nancy 1","Palaiseau, Ecole polytechnique",1989,2011
"BENOIT CRONIER","Amiens","Nancy 1",1991,1992
"Benoit de Wazieres","Besancon","Montpellier 1",1996,2000
"Benoit Demil","Paris 10","Lille 1",1998,2014
"Benoit Eynard","Bordeaux 1","Troyes",1999,2005
"Benoit Frisch","Nancy 1","Strasbourg",1989,2012
"Benoit Garnot","Rennes 2","Dijon",1985,1996
"Benoit Goetz","Universite Marc Bloch (Strasbourg)","Metz",1996,2008
"Benoit Grasser","Nancy 2","Universite de Lorraine",1997,2018
"Benoit Jaillard","Lille 2","Aix-Marseille 3",1989,1998
"Benoit Journe","Palaiseau, Ecole polytechnique","Nantes",1999,2016
"Benoit Limoges","Clermont-Ferrand 2","Paris 7",1993,2007
"Benoit Marrot","Toulouse, INPT","Aix-Marseille 3",1997,2010
"Benoit Masquida","Universite Louis Pasteur (Strasbourg)","Strasbourg",1999,2013
"Benoit Miramond","Evry-Val d'Essonne","Cergy-Pontoise",2003,2015
"Benoit Odaert","Lille 2","Bordeaux",1999,2014
"Benoit Palancade","Paris 6","Paris 11",2002,2012
"Benoit Perthame","Paris 9","Orleans",1987,1993
"Benoit Pige","Dijon","Besancon",1993,2011
"Benoit Plessix","Paris 2","Nancy 2",2001,2010
"Benoit Prevost","Paris Est","Montpellier",2015,2015
"Benoit Revenu","Paris 7","Nantes, Ecole des Mines",2000,2014
"Benoit Robert","Rouen","Paris 6",2015,2015
"Benoit Roig","Aix-Marseille 1","Montpellier 1",1999,2007
"Benoit Tadie","Paris 3","Rennes 2",1994,2012
"Benoit Tavernier","Nancy 1","Lille 2",1988,2008
"Benoit Terris","Paris 7","Paris 11",1999,2009
"Benoit Vallet","Universite Paris-Saclay (ComUE)","Lille 2",2019,2004
"Berengere Dubrulle","Toulouse 3","Paris 6",1990,2004
"Bernadette Nadia Saou-Dufrene","Universite Stendhal (Grenoble)","Avignon",1998,2010
"Bernard Amadon","Paris 11","Universite Paris-Saclay (ComUE)",2000,2018
"Bernard Ancori","Universite Louis Pasteur (Strasbourg)","Strasbourg",1990,2017
"Bernard Andrieu","Paris 10","Universite de Lorraine",1996,2012
"Bernard Aumont","Paris 7","Paris 12",1994,2007
"Bernard Bataille","Montpellier 1","Montpellier",1988,2016
"Bernard Baudoin","Poitiers","Valenciennes",1987,2004
"Bernard Bayle","Toulouse 3","Strasbourg",2001,2014
"Bernard Blanc","Paris 10","Aix-Marseille 2",2007,1994
"Bernard Boene","Paris 5","Toulouse 1",1995,2008
"Bernard Bonin","Besancon","Paris 11",1991,1991
"Bernard Bosredon","Paris 7","Paris 3",1994,2000
"Bernard Bourdon","Paris Est","Lyon",2015,2017
"Bernard Bouteille","Besancon","Limoges",1992,2003
"Bernard Bremond","Toulouse, INPT","Universite Louis Pasteur (Strasbourg)",1987,1999
"Bernard Calas","Paris 10","Montpellier 1",1994,1996
"Bernard Caron","Paris 7","Paris, INALCO",1987,1995
"Bernard Cazelles","Lyon 1","Paris 6",1987,2009
"Bernard Chabert","Montpellier 1","Lyon 1",1998,1998
"Bernard Chalmond","Paris 11","Cergy-Pontoise",1988,2014
"Bernard Charlot","Paris 1","Paris 8",1991,1990
"Bernard Chevalier","Aix-Marseille 3","Tours",1989,1989
"Bernard Colas","Dijon","Nantes",1990,1999
"Bernard Cousin","Paris 6","Aix-Marseille 1",1987,1993
"Bernard Cribier","Strasbourg 1","Universite Louis Pasteur (Strasbourg)",1989,1995
"Bernard Delmas","Toulouse 3","Paris 7",1989,2012
"Bernard Denis","Toulouse 3","Nancy 1",1988,1994
"Bernard Do","Paris 5","Universite Paris-Saclay (ComUE)",2001,2018
"Bernard Dubreuil","Nice","Orleans",1998,1999
"Bernard Duchene","Paris 11","Paris 6",1986,1997
"Bernard Forgues","Paris 9","Lille 1",1993,2007
"Bernard Franco","Paris 4","Sorbonne universite",1997,2018
"Bernard Francois","Paris, INALCO","Pau",1999,1999
"Bernard Friot","Paris 10","Nancy 2",1993,2004
"Bernard Fromenty","Paris 5","Paris 7",1990,2006
"Bernard Gardette","Aix-Marseille 3","Aix-Marseille 2",1987,1998
"Bernard Gensane","Nantes","Poitiers",1990,1997
"Bernard Guillon","Paris, ENMP","Pau",1992,2012
"Bernard Heyberger","Nancy 2","Paris Sciences et Lettres",1993,2018
"Bernard Holtzmann","Paris 1","Paris 10",1988,1999
"Bernard Joly","Lille 3","Clermont-Ferrand 2",1988,1987
"Bernard Lafargue","Nice","Bordeaux 3",1986,2008
"Bernard Lahire","Lyon 2","Lyon, Ecole normale superieure",1990,2012
"Bernard Laurent","Paris 1","Lyon 2",2003,2008
"Bernard Lecherbonnier","Paris 4","Paris 13",1987,2012
"Bernard Legras","Paris 1","Paris 6",1991,1991
"Bernard Legras","Paris 1","Nancy 1",1991,1991
"Bernard Levy","Toulouse 3","Paris 11",1988,1987
"Bernard Malavaud","Toulouse 3","Paris 5",1989,2008
"Bernard Marty","Paris 6","Nancy 1",1988,1998
"Bernard Masson","Lyon 1","Paris 10",1990,1990
"Bernard Mercier de Lepinay","Paris 6","Nice",1987,1999
"Bernard Michon","Universite Marc Bloch (Strasbourg)","Strasbourg 2",1993,2003
"Bernard Mutel","Mulhouse","Universite Louis Pasteur (Strasbourg)",1998,1998
"Bernard Padovani","Nice","Angers",1988,1994
"Bernard Pecqueur","Universite Pierre Mendes France (Grenoble)","Grenoble 2",1987,2005
"Bernard Pegourie","Paris 7","Aix-Marseille",1985,2013
"Bernard Perrin","Lyon 1","Toulouse 3",1990,1994
"Bernard Philippe","Amiens","Rennes 1",1988,1994
"Bernard Poirine","Paris 2","Polynesie francaise",1991,2017
"Bernard Pottier","Rennes 1","Paris 4",1991,1993
"Bernard Pottier","Rennes 1","Paris 4",1991,1989
"Bernard Pouderon","Lyon 2","Tours",1986,2009
"Bernard Pucci","Nice","Avignon",1992,1997
"Bernard Ramanantsoa","Paris 9","Paris 10",1991,2001
"Bernard Remy","Rouen","Universite Pierre Mendes France (Grenoble)",1998,1997
"Bernard Roy","Palaiseau, Ecole polytechnique","Paris 9",1996,1996
"Bernard Seve","Paris 1","Lille 3",2006,2012
"Bernard Sibaud","Paris 1","Metz",1990,2000
"Bernard Sicot","Paris 4","Paris 10",1993,2012
"Bernard Sionneau","Paris, CNAM","Toulouse 1",2000,2013
"Bernard Thierry","Aix-Marseille 2","Universite Louis Pasteur (Strasbourg)",1997,2000
"Bernard Traimond","Paris 1","Bordeaux 2",1992,2010
"Bernard Uguen","Rennes, INSA","Rennes 1",1992,2011
"Bernard Valette","Paris 6","Chambery",1987,2007
"Bernard Verrier","Lyon 1","Aix-Marseille 1",1985,1999
"Bernard Villechaise","Lyon 1","Poitiers",1985,1992
"Bernard Wuilleme","Paris 4","Lyon 3",1988,2008
"Bertrand Audoin","Aix-Marseille 2","Bordeaux 1",2004,2009
"Bertrand Aupoix","Lyon 1","Toulouse, ISAE",1987,2007
"Bertrand Cabedoche","Rennes 1","Grenoble",1987,2010
"Bertrand Castaing","Aix-Marseille 2","Orleans",1993,2009
"Bertrand Charrier","Vandoeuvre-les-Nancy, INPL","Pau",1992,2007
"Bertrand Crettez","Paris 1","Besancon",1993,2001
"Bertrand Daignan-Fornier","Paris 6","Bordeaux 2",1989,2001
"Bertrand Ducourthial","Paris 11","Compiegne",1999,2010
"Bertrand Duvillie","Paris 7","Paris 5",1997,2010
"Bertrand Faure","Toulouse 2","La Rochelle",2006,2005
"Bertrand Garnier","Nantes","Ecole centrale de Nantes",1990,2012
"Bertrand Granado","Paris 11","Paris 6",1998,2012
"Bertrand Guillarme","Paris, Institut d'etudes politiques","Paris 8",1995,2009
"Bertrand Hell","Universite Marc Bloch (Strasbourg)","Besancon",1992,2003
"Bertrand Kuhnast","Paris 5","Universite Paris-Saclay (ComUE)",2000,2018
"Bertrand Ludes","Universite Louis Pasteur (Strasbourg)","Strasbourg 1",1985,1994
"Bertrand Marchal","Paris 3","Paris 4",1987,2003
"Bertrand Mathieu","Paris 6","Dijon",2008,2004
"Bertrand Pauvert","Nice","Mulhouse",1999,2009
"Bertrand Rouge","Paris 3","Pau",1992,2002
"Bertrand Roussel","Montpellier 3","Amiens",2005,1993
"Bertrand Schmitt","Strasbourg 1","Dijon",1991,2001
"Bertrand Seiller","Paris 2","Tours",1995,2007
"Bertrand Souweine","Aix-Marseille 2","Clermont-Ferrand 1",1988,1992
"Bertrand Urien","Rennes 1","Brest",1998,2013
"Bertrand Venard","Paris 9","Nantes",1992,2015
"Bertrand Wattrisse","Montpellier 2","Montpellier",1999,2015
"Bertrand Westphal","Universite Marc Bloch (Strasbourg)","Limoges",1988,2008
"Besnik Pumo","Paris 6","Angers",1992,2013
"Bjorn Walliser","Universite Pierre Mendes France (Grenoble)","Nancy 2",1994,2004
"Blaise Genest","Paris 7","Rennes 1",2004,2018
"Blandine de Lauzon-Guillain","Paris 11","Universite Paris-Saclay (ComUE)",2006,2018
"Blandine Kriegel","Lyon 3","Paris 10",1988,1996
"Blandine Mallet-Bricout","Paris 2","Lyon 3",1998,2012
"Boghos Joulakian","Lyon 1","Metz",1990,2001
"Boniface Nkonga","Nice","Bordeaux 1",1992,2007
"Borhane Errais","Paris 7","Nice",1992,1999
"Boriana Dimitrova Atanasova","Dijon","Tours",2004,2014
"Boris Bartikowski","Aix-Marseille 3","Aix-Marseille",2001,2012
"Boris Vauzeilles","Paris 6","Universite Paris-Saclay (ComUE)",1996,2017
"Brahim Lounis","Paris 11","Bordeaux 1",1993,2005
"Brahim Sarh","Paris 6","Orleans",1990,2001
"Brigitte Autran","Paris 7","Paris 6",1992,2007
"Brigitte Brunel","Lyon 1","Montpellier",1988,2016
"Brigitte Gaiti","Paris 1","Strasbourg 3",1992,2000
"Brigitte Gauthier","Paris 4","Lyon 3",1993,2010
"Brigitte Gratien","Paris 4","Lille 3",1991,2007
"Brigitte Horiot","Strasbourg 2","Lyon 3",1998,2010
"Brigitte Juanals","Paris 3","Paris 10",2001,2011
"Brigitte Marin","Paris 1","Aix-Marseille 1",1991,2011
"Brigitte Marin-Porta","Paris 3","Paris 8",2000,2016
"Brigitte Picard","Paris 11","Clermont-Ferrand 2",1988,2010
"Brigitte Rozoy","Paris 5","Paris 11",1997,1999
"Brigitte Sieber","Paris 11","Lille 1",1985,1990
"Brigitte Steinmann","Paris 10","Lille 1",1985,2016
"Brigitte Wache","Paris 10","Le Mans",1987,2004
"Bruno Andrioletti","Dijon","Lyon 1",1997,2014
"Bruno Angles","Toulouse 3","Caen",1994,2006
"Bruno Barbier","Besancon","Lyon 1",2002,1993
"Bruno Baudin","Paris 5","Caen",1989,2006
"Bruno Bernard","Nice","Paris 6",1985,2008
"Bruno Blanckeman","Paris 7","Paris 3",1995,2010
"Bruno Blanke","Paris 6","Brest",1992,2008
"Bruno Bureau","Le Mans","Lyon 3",1998,2008
"Bruno Cardinaud","Paris 6","Bordeaux",1996,2016
"Bruno Cessac","Toulouse 3","Nice",1994,2014
"Bruno Crepon","Paris 1","Paris, Institut d'etudes politiques",1994,2012
"Bruno David","Paris 5","Dijon",1990,1990
"Bruno Dondero","Paris 10","Paris 1",2001,2011
"Bruno Dubois","Dijon","Paris 6",2012,2012
"Bruno Durand","Aix-Marseille 2","Montpellier",2003,2016
"Bruno Duthoit","Lille 1","Artois",1985,1996
"Bruno Fabre","Montpellier 2","Rennes 1",1999,2007
"Bruno Falissard","Paris 11","Paris 6",1990,2005
"Bruno Favery","Paris 11","Nice",1999,2013
"Bruno Francois","Besancon","Ecole centrale de Lille",2013,2010
"Bruno Grandidier","Nancy 1","Lille 1",1992,2009
"Bruno Guy","Lyon 1","Lyon",2000,2018
"Bruno Hoen","Nancy 1","Besancon",1995,2005
"Bruno Hurault de Ligny","Rouen","Caen",1987,1990
"Bruno Jacquot","Montpellier 1","Montpellier",2011,2018
"Bruno Jousselme","Angers","Palaiseau, Ecole polytechnique",2002,2012
"Bruno Lapeyre","Lyon 1","Montpellier 1",1990,2000
"Bruno Lefebvre","Paris 5","Paris, CNAM",1992,2017
"Bruno Levy","Universite Paris-Est Creteil Val de Marne (UPEC)","Nancy 1",1993,2004
"Bruno Lucas","Paris 13","Paris 5",2004,2013
"Bruno Marnot","Paris 4","La Rochelle",1998,2014
"Bruno Martin","Nancy 1","Dijon",2005,2008
"Bruno Michel","Tours","Aix-Marseille",2009,2018
"Bruno Millet","Paris 6","Rennes 1",2002,2014
"Bruno Milly","Lyon 2","Lyon",2000,2018
"Bruno Monfort","Montpellier 3","Lille 3",1987,2015
"Bruno Mortemousque","Bordeaux 1","Bordeaux 2",1999,1999
"Bruno Pinchard","Paris 4","Tours",1991,1997
"Bruno Py","Nancy 2","Universite de Lorraine",1993,2013
"Bruno Quesson","Bordeaux 1","Bordeaux",1998,2016
"Bruno Reynard","Rennes 1","Lyon, Ecole normale superieure",1989,2011
"Bruno Richard","Le Mans","Montpellier 1",2008,2000
"Bruno Riou","Nantes","Lyon 1",1985,1998
"Bruno Robert","Paris 6","Paris 11",1987,1999
"Bruno Saura","Aix-Marseille 3","Polynesie francaise",1990,2005
"Bruno Sejourne","Paris 1","Angers",1996,2015
"Bruno Silhol","Universite Paris-Est Creteil Val de Marne (UPEC)","Cergy-Pontoise",1995,2002
"Bruno Theret","Paris 1","Paris 9",1990,2015
"Bruno Tinel","Lyon 2","Paris 1",2000,2018
"Bruno Toppan","Dijon","Nancy 2",1987,1996
"Bruno Vergnes","Nice","Paris, ENMP",1985,1992
"Bruno Viard","Aix-Marseille 1","Aix-Marseille",1990,2014
"Camille Dumoulie","Paris 4","Paris 10",1989,1999
"Camille Sureau","Tours","Paris 6",1988,2007
"Camille Sureau","Tours","Paris 7",1988,2007
"Carine Franc","Toulouse 1","Paris 9",2000,2015
"Carine Jallamion","Montpellier 1","Montpellier",2004,2015
"Carine Souveyet","Paris 6","Paris 1",1991,2012
"Carl Frelicot","Compiegne","La Rochelle",1992,2012
"Carlos Afonso","Paris 6","Rouen",2000,2014
"Carlos Aguilar Melchor","Toulouse, INSA","Toulouse, INPT",2006,2018
"Carlos Alberto Antunes Maciel","Nantes","Nice",1994,1996
"Carlos Cardoso","Paris 3","Aix-Marseille",1998,2012
"Carlos Quenan","Universite Pierre Mendes France (Grenoble)","Paris 3",1987,2013
"Carlos-Miguel Herrera","Paris 10","Cergy-Pontoise",1996,2013
"Carmela Giglione","Paris 11","Universite Paris-Saclay (ComUE)",1999,2019
"Carole Drucker-Godard","Paris 9","Paris 10",2000,2017
"Carole Ferraro-Peyret","Lyon 1","Lyon",2001,2017
"Carole Kretz","Lyon 1","Lyon",1997,2017
"Carole Petit","Lyon 3","Paris 6",2008,2009
"Carole Seve","Montpellier 1","Rouen",2000,2006
"Carole Talon-Hugon","Paris 4","Nice",1991,2005
"Caroline Aninat","Paris 5","Rennes 1",2003,2015
"Caroline Boiteux-Picheral","Montpellier 1","Montpellier",1999,2016
"Caroline Jacot Grapa","Paris 7","Lille 3",1993,2016
"Caroline Kulcsar","Paris 11","Universite Paris-Saclay (ComUE)",1995,2017
"Caroline Mascret","Lille 2","Universite Paris-Saclay (ComUE)",2003,2016
"Caroline Montagnani","Paris 6","Montpellier",2002,2015
"Caroline Villard","Universite Louis Pasteur (Strasbourg)","Strasbourg",2001,2015
"Caroline West","Paris 11","Orleans",2005,2014
"Catherine Achard","Aix-Marseille 2","Paris 6",1988,2008
"Catherine Alix-Panabieres","Universite Louis Pasteur (Strasbourg)","Montpellier",1998,2018
"Catherine Baron","Bordeaux 1","Toulouse 1",1994,2016
"Catherine Beaucaire","Paris 7","Evry-Val d'Essonne",1987,2014
"Catherine Bernard","Lille 1","Paris 7",1996,2007
"Catherine Blatier","Universite Pierre Mendes France (Grenoble)","Grenoble",1991,2010
"Catherine Bore","Universite Stendhal (Grenoble)","Cergy-Pontoise",1998,2019
"Catherine Boyer","Montpellier 2","Aix-Marseille 2",1998,1994
"Catherine Bruneau","Paris 9","Paris 10",1996,2006
"Catherine Chanal-Abrial","Clermont-Ferrand 1","Clermont Auvergne",2005,2019
"Catherine Charcosset","Compiegne","Lyon 1",1990,2013
"Catherine Colin","Montpellier 3","Toulouse, INPT",2012,2012
"Catherine Collin","Poitiers","Nantes",2001,2016
"Catherine Colliot-Thelene","Paris 1","Rennes 1",1988,2005
"Catherine Coquio","Paris 4","Poitiers",1988,2010
"Catherine Cronier","Montpellier 2","Lille 1",1998,2011
"Catherine Delarue","Montpellier 1","Rouen",1991,2000
"Catherine Depretto","Paris 4","Sorbonne universite",1992,2019
"Catherine Dubois","Montpellier 3","Paris, CNAM",2016,2016
"Catherine Duez","Lille 1","Lille 2",1997,2007
"Catherine Dufour","Vandoeuvre-les-Nancy, INPL","Nancy 1",1990,1999
"Catherine Dumas","Paris 10","Paris 3",2000,2006
"Catherine Feuillet","Toulouse 3","Clermont-Ferrand 2",1993,2010
"Catherine Foulon","Tours","Lille 2",1991,2015
"Catherine Fournier","Paris 4","Paris 5",2000,1996
"Catherine Gallardo","Paris 3","Paris 10",1993,2015
"Catherine Gaullier-Bougassas","Paris 3","Lille 3",1995,2018
"Catherine Gauthier","Paris 8","Lyon, INSA",1999,2005
"Catherine Goyet","Paris 6","Perpignan",1987,2007
"Catherine Grandjean","Nancy 1","Tours",1993,2011
"Catherine Haguenau-Moizard","Paris 2","Strasbourg",1994,2014
"Catherine Helmer","Bordeaux 2","Bordeaux",1997,2016
"Catherine Kessedjian","Paris 1","Paris 2",1986,2009
"Catherine Krief-Semitko","Universite Paris-Est Creteil Val de Marne (UPEC)","Paris 12",1994,2005
"Catherine Laurent","Paris 6","Universite de Marne-la-Vallee",1990,2006
"Catherine Laurent","Aix-Marseille 2","Universite de Marne-la-Vallee",1990,2006
"Catherine Lecomte","Aix-Marseille 2","Poitiers",1999,2004
"Catherine Lefebvre","Paris 11","Lille 2",2008,1989
"Catherine Maignant","Paris 3","Lille 3",1989,2002
"Catherine Mayeur-Jaouen","Paris 4","Paris 3",1992,2009
"Catherine Mazauric","Toulouse 2","Aix-Marseille",2004,2017
"Catherine Mercier-Suissa","Paris 1","Lyon 3",1991,2007
"Catherine Muller","Paris 3","Toulouse 3",2011,2010
"Catherine Nebel","Montpellier 2","Montpellier",2005,2019
"Catherine Nguyen","Paris 5","Aix-Marseille 2",1997,2003
"Catherine Pardo","Dijon","Lyon 3",2000,2015
"Catherine Perret","Paris 1","Paris 10",1986,2010
"Catherine Perrin","Paris 11","Nancy 1",1985,1992
"Catherine Picon-Cochard","Nancy 1","Clermont-Ferrand 2",1996,2013
"Catherine Pierre","Caen","Paris 6",1990,2012
"Catherine Pinel","Paris 6","Lyon 1",1992,2007
"Catherine Puigelier","Paris 13","Paris 8",2000,2015
"Catherine Quantin","Dijon","Bourgogne Franche-Comte",1997,2017
"CATHERINE ROLLIN","Universite Louis Pasteur (Strasbourg)","Paris 5",1992,1999
"Catherine Saliou","Paris 1","Paris 8",1992,2015
"Catherine Sarlandie de La Robertie","Paris, INALCO","Rennes 1",1991,2013
"Catherine Schnedecker","Universite Marc Bloch (Strasbourg)","Metz",1992,2008
"Catherine Schneider","Universite Marc Bloch (Strasbourg)","Universite Pierre Mendes France (Grenoble)",1999,2003
"Catherine Schouler","Toulouse 3","Tours",1992,2011
