"Nom","Universite1","Universite2","Annee1","Annee2"
"Aline Desmedt","Bordeaux 1","Bordeaux",2000,2016
"Aline Pourkier","Lille 3","Dijon",1987,2008
"Alioune Fall","Bordeaux","Strasbourg 3",2016,2007
"Alonso Tordesillas","Universite Pierre Mendes France (Grenoble)","Aix-Marseille 1",1987,2011
"Alphonse Leguil","Paris 3","Paris, INALCO",1987,1990
"Amaelle Landais","Paris 6","Versailles-St Quentin en Yvelines",2004,2015
"Amaia Arizaleta","Paris 3","Toulouse 2",1994,2010
"Amal El Fallah Seghrouchni","Paris 6","Paris 13",1991,2002
"Amar Ramdane-Cherif","Paris 6","Versailles-St Quentin en Yvelines",1998,2012
"Amaria Baghdadli","Montpellier 1","Montpellier 3",2001,2011
"Amaury Grimand","Lyon 3","Poitiers",1996,2017
"Amelie Rousseau","Toulouse 2","Lille 3",2004,2017
"Amer Chpoun","Paris 6","Orleans",1988,2002
"Amina Becheur","Paris 9","Paris Est",1998,2016
"Amina Meslem","Lyon, INSA","La Rochelle",1997,2012
"Aminata Toure","Lille 2","Paris 5",2012,2012
"Anaclet Turatsinze","Toulouse 3","Toulouse, INSA",1992,2010
"Anastasios Brenner","Paris 4","Montpellier 3",1987,2010
"Anastassia Tsoukala","Paris 1","Paris 11",1993,2015
"Andre Bado","Paris 7","Paris 5",1988,2001
"ANDRE BEL","Grenoble 2","Lyon 1",1986,1989
"Andre Birmele","Universite Marc Bloch (Strasbourg)","Strasbourg 2",1986,2004
"Andre Clement","Vandoeuvre-les-Nancy, INPL","Chatenay-Malabry, Ecole centrale de Paris",1989,1991
"Andre de Lustrac","Paris 11","Paris 10",1986,1999
"Andre de Palma","Dijon","Cergy-Pontoise",1988,2000
"Andre Dittmar","Lyon 1","Lyon, INSA",1986,2001
"Andre Estevez Torres","Paris 6","Universite Paris-Saclay (ComUE)",2007,2016
"Andre Etchelecou","Paris 8","Pau",1987,1996
"Andre Fabre","Paris 4","Paris, INALCO",2001,1998
"Andre Gardies","Paris 8","Lyon 2",1987,2002
"Andre Guichaoua","Paris 1","Lille 1",1987,1996
"Andre Guyon","Paris 4","Brest",1987,1997
"Andre Laks","Paris 4","Lille 3",1988,1993
"Andre Levy","Brest","Montpellier 1",1986,1989
"Andre Mariage","Paris 5","Bourgogne Franche-Comte",1994,2018
"Andre Not","Aix-Marseille 1","Aix-Marseille",1986,2012
"Andre Paugam","Paris 5","Paris 7",2002,2011
"Andre Petitjean","Besancon","Metz",1987,1990
"Andre Quaderi","Aix-Marseille 1","Nice",2001,2013
"Andre Simon","Paris, INALCO","Vandoeuvre-les-Nancy, INPL",1988,1988
"Andre Sirota","Paris 7","Paris 10",1997,2010
"Andre Stahl","Universite Paris-Saclay (ComUE)","Aix-Marseille 2",2018,1993
"Andre Topia","Paris 8","Paris 3",1995,2004
"Andre Torre","Nice","Paris 9",1985,2005
"Andrea Fabiano","Paris 3","Paris 4",1995,2010
"Andreas Chatzisavas","Universite Marc Bloch (Strasbourg)","Universite de Lorraine",1990,2012
"Andree Shepherd","Paris 3","Universite Stendhal (Grenoble)",1995,2005
"Andrei Tchirkov","Clermont-Ferrand 1","Clermont Auvergne",1998,2017
"Andrew Kramar","Paris 11","Montpellier 1",1992,2006
"Andrzej Zuk","Toulouse 3","Paris 7",1996,2010
"Ange Nzihou","Toulouse, INPT","Lyon, INSA",1994,2008
"Angel Alastuey","Paris 11","Lyon, Ecole normale superieure",1985,2015
"Angel Iglesias Ovejeros","Paris 4","Orleans",1987,2002
"Angel Pino","Paris 13","Bordeaux 3",1992,2015
"Angela Taddei","Paris 6","Paris 11",2000,2011
"Angelo Paci","Paris 5","Universite Paris-Saclay (ComUE)",2000,2017
"Anh-Minh Tang","Ecole nationale des ponts et chaussees (France)","Paris Est",2005,2014
"Anis Limami","Caen","Angers",1985,2004
"Anita Gonzalez-Raymond","Besancon","Grenoble 3",1987,2001
"Anna Creti-Bettoni","Toulouse 1","Universite Paris-Saclay (ComUE)",1998,2016
"Anne Bamberg","Universite Marc Bloch (Strasbourg)","Strasbourg",1987,2018
"Anne Barlier","Aix-Marseille 2","Aix-Marseille",1998,2018
"Anne Bayard-Sakai","Paris 7","Paris, INALCO",1989,2013
"Anne Beyaert-Geslin","Limoges","Bordeaux 3",1998,2017
"Anne Blanchard","Versailles-St Quentin en Yvelines","Montpellier 3",2011,1992
"Anne Boissiere","Montpellier 2","Lille 3",2012,2014
"Anne Bourdoncle","Montpellier 1","Bordeaux",2004,2016
"Anne Boyer","Nancy 1","Universite de Lorraine",1987,2018
"Anne Caignard","Dijon","Paris 7",1990,2000
"Anne Camus","Lille 2","Paris 7",1994,2013
"Anne Carol","Paris 1","Aix-Marseille",1993,2014
"Anne Charlon","Paris 4","Dijon",1987,2012
"Anne Charloux","Universite Louis Pasteur (Strasbourg)","Strasbourg",2001,2012
"Anne Collignon","Nancy 1","Paris 11",1991,1998
"Anne Courouce-Malblanc","Saint-Etienne","Nantes",1997,2015
"Anne de Blignieres-Legeraud","Paris 13","Paris 9",1986,2005
"Anne de Bouard","Paris 11","Palaiseau, Ecole polytechnique",1992,2015
"Anne Dejean","Toulouse 3","Paris 6",2006,2012
"Anne Deschamps","Montpellier 2","Paris 7",2001,1991
"Anne Didier","Bordeaux 2","Lyon 1",1999,2008
"Anne Dubet","Bordeaux 3","Clermont Auvergne",1998,2017
"Anne Epaulard","Paris 1","Paris Sciences et Lettres",1992,2017
"Anne Fagot-Largeault","Paris 10","Paris 1",1986,1998
"Anne Faivre Dupaigre","Tours","Poitiers",1989,2012
"Anne Fournier","Paris 10","Paris, Museum national d'histoire naturelle",2014,2013
"Anne Galinier","Toulouse 3","Aix-Marseille 2",2006,2007
"Anne Garrait-Bourrier","Clermont-Ferrand 2","Clermont Auvergne",1997,2019
"Anne Grynberg","Paris 1","Paris, INALCO",1989,2012
"Anne Guiochon-Mantel","Paris 11","Paris 6",1990,2002
"ANNE HENRY","Universite Louis Pasteur (Strasbourg)","Montpellier 3",1993,1996
"ANNE HENRY","Universite Louis Pasteur (Strasbourg)","Montpellier 3",1993,1990
